broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000204	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00340		
ACH-000205	PK59_PANCREAS	SIDM01774		
ACH-000206	C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00072		
ACH-000207	DETROIT562_UPPER_AERODIGESTIVE_TRACT	SIDM00831		
ACH-000208	U178_CENTRAL_NERVOUS_SYSTEM	SIDM01431		
ACH-000209	SNU1079_BILIARY_TRACT	SIDM00164		
ACH-000210	CADOES1_BONE	SIDM00961		
ACH-000211	DAOY_CENTRAL_NERVOUS_SYSTEM	SIDM00887		
ACH-000212	CAL120_BREAST	SIDM00940		
ACH-000213	HUPT4_PANCREAS	SIDM00531		
ACH-000214	HS675T_FIBROBLAST	SIDM01564		
ACH-000215	LN382_CENTRAL_NERVOUS_SYSTEM	SIDM01365		
ACH-000216	JHESOAD1_OESOPHAGUS	SIDM01731		
ACH-000217	JHH6_LIVER	SIDM00615		
ACH-000218	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00450		
ACH-000219	A375_SKIN	SIDM00795		
ACH-000220	MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01667		
ACH-000221	SNU398_LIVER	SIDM01181		
ACH-000222	ASPC1_PANCREAS	SIDM00899		
ACH-000223	HCC1937_BREAST	SIDM00874		
ACH-000224	HS819T_FIBROBLAST	SIDM01699		
ACH-000225	ECC12_STOMACH	SIDM00279		
ACH-000226	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00421		
ACH-000227	KPNYN_AUTONOMIC_GANGLIA	SIDM00556		
ACH-000228	BICR31_UPPER_AERODIGESTIVE_TRACT	SIDM00078		
ACH-000229	HS822T_FIBROBLAST	SIDM01697		
ACH-000230	HS742T_FIBROBLAST	SIDM01701		
ACH-000231	KALS1_CENTRAL_NERVOUS_SYSTEM	SIDM00613		
ACH-000232	U251MG_CENTRAL_NERVOUS_SYSTEM	SIDM00111		
ACH-000233	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00949		
ACH-000234	CAKI2_KIDNEY	SIDM01546		
ACH-000235	PANC0403_PANCREAS	SIDM01137		
ACH-000236	SW1417_LARGE_INTESTINE	SIDM00812		
ACH-000237	JHOM1_OVARY	SIDM01571		
ACH-000238	SCC4_UPPER_AERODIGESTIVE_TRACT	SIDM01081		
ACH-000239	HUG1N_STOMACH	SIDM01753		
ACH-000240	HS600T_FIBROBLAST	SIDM01580		
ACH-000241	JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01727		
ACH-000242	RT4_URINARY_TRACT	SIDM01085		
ACH-000243	DANG_PANCREAS	SIDM00950		
ACH-000244	DKMG_CENTRAL_NERVOUS_SYSTEM	SIDM00947		
ACH-000245	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00985		
ACH-000246	SLR23_KIDNEY	SIDM01340		
ACH-000247	OCUM1_STOMACH	SIDM00568		
ACH-000248	AU565_BREAST	SIDM00898		
ACH-000249	CL11_LARGE_INTESTINE	SIDM00944		
ACH-000250	KMRC20_KIDNEY	SIDM00609		
ACH-000251	NCIH2887_LUNG	SIDM01384		
ACH-000252	LS1034_LARGE_INTESTINE	SIDM00681		
ACH-000253	COLO201_LARGE_INTESTINE	SIDM00823		
ACH-000254	SCC15_UPPER_AERODIGESTIVE_TRACT	SIDM01083		
ACH-000255	LMSU_STOMACH	SIDM01368		
ACH-000256	COV318_OVARY	SIDM01480		
ACH-000257	CORL279_LUNG	SIDM00511		
ACH-000258	DU4475_BREAST	SIDM01001		
ACH-000259	KELLY_AUTONOMIC_GANGLIA	SIDM01009		
ACH-000260	SKNAS_AUTONOMIC_GANGLIA	SIDM01101		
ACH-000261	RERFLCAI_LUNG	SIDM00307		
ACH-000262	UOK101_KIDNEY	SIDM01400		
ACH-000263	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01005		
ACH-000264	CALU6_LUNG	SIDM00921		
ACH-000265	KP4_PANCREAS	SIDM00301		
ACH-000266	SNU213_PANCREAS	SIDM01372		
ACH-000267	HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01064		
ACH-000268	SNU245_BILIARY_TRACT	SIDM00162		
ACH-000269	AM38_CENTRAL_NERVOUS_SYSTEM	SIDM00492		
ACH-000270	HPAC_PANCREAS	SIDM00670		
ACH-000271	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00389		
ACH-000272	SLR24_KIDNEY	SIDM01339		
ACH-000273	SF539_CENTRAL_NERVOUS_SYSTEM	SIDM00083		
ACH-000274	HS852T_SKIN	SIDM01559		
ACH-000275	HS834T_FIBROBLAST	SIDM01709		
ACH-000276	HCC38_BREAST	SIDM00675		
ACH-000277	HCC1419_BREAST	SIDM00882		
ACH-000278	COV362_OVARY	SIDM01479		
ACH-000279	EWS502_BONE	SIDM01499		
ACH-000280	SNU840_OVARY	SIDM01436		
ACH-000281	KP2_PANCREAS	SIDM00582		
ACH-000282	NCIH1755_LUNG	SIDM00738		
ACH-000283	A1207_CENTRAL_NERVOUS_SYSTEM	SIDM01527		
ACH-000284	HS840T_FIBROBLAST	SIDM01725		
